time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
1656288000,34718e,40.87294006347656,1.9229736328125,187.6310635017997,245.543044135279,8.128,IBE2601 ,False,False,False,417.0,5509.26,5814.06,1656287998.654,1656288000.0
1656288010,34718e,40.86509058030985,1.900260231711648,188.31250552159315,245.46536691939505,7.80288,IBE2601 ,False,False,False,417.0,5600.700000000001,5897.88,1656288009.793,1656288009.876
1656288020,34718e,40.85824740135063,1.8805347789417608,188.9942911607127,245.38824999447377,8.128,IBE2601 ,False,False,False,417.0,5676.900000000001,5996.9400000000005,1656288019.516,1656288019.581
1656288030,34718e,40.850921630859375,1.85931396484375,189.4621194334958,245.45304168198675,8.45312,IBE2601 ,False,False,False,417.0,5768.34,6073.14,1656288029.895,1656288029.982
1656288040,34718e,40.8440489688162,1.8394608931107956,190.14395854595864,245.3764352138364,8.128,IBE2601 ,False,False,False,417.0,5844.54,6164.58,1656288039.644,1656288039.718
1656288050,34718e,40.8369140625,1.8189697265625,190.61174200698068,245.4408651166155,7.477760000000001,IBE2601 ,False,False,False,417.0,5928.360000000001,6256.02,1656288049.696,1656288049.78
1656288060,34718e,40.829681396484375,1.79815673828125,191.76137308626744,245.42883455047428,7.152640000000001,IBE2601 ,False,False,False,417.0,5996.9400000000005,6324.6,1656288059.734,1656288059.796
1656288070,34718e,40.82240295410156,1.7772216796875,192.44331713721647,245.3532291480689,7.152640000000001,IBE2601 ,False,False,False,417.0,6073.14,6408.42,1656288069.843,1656288069.893
1656288080,34718e,40.81539916992188,1.75714111328125,192.91101251928808,245.41694737441756,8.77824,IBE2601 ,False,False,False,417.0,6149.34,6484.62,1656288079.471,1656288079.533
1656288090,34718e,40.807708740234375,1.73565673828125,192.57048332277057,243.84566422168703,8.77824,IBE2601 ,False,False,False,417.0,6240.780000000001,6583.68,1656288089.977,1656288089.977
1656288100,34718e,40.79946899414063,1.71697998046875,191.67854833662096,237.7175127642184,8.128,IBE2601 ,False,False,False,417.0,6324.6,6667.5,1656288099.479,1656288099.657
1656288110,34718e,40.78907775878906,1.69818115234375,190.86496378479316,232.66680426181412,8.128,IBE2601 ,False,False,False,417.0,6408.42,6758.9400000000005,1656288109.741,1656288109.895
1656288120,34718e,40.77845764160156,1.6800537109375,191.49067960950305,232.4220229131872,7.80288,IBE2601 ,False,False,False,417.0,6484.62,6835.14,1656288119.895,1656288119.945
1656288130,34718e,40.76835503012447,1.6625560413707383,191.68407109999367,232.85331330197823,7.477760000000001,IBE2601 ,False,False,False,417.0,6560.820000000001,6918.960000000001,1656288129.607,1656288129.839
1656288140,34718e,40.75776672363281,1.64404296875,192.19630593982671,233.16077461006597,6.502400000000001,IBE2601 ,False,False,False,417.0,6637.02,6995.160000000001,1656288139.679,1656288139.885
1656288150,34718e,40.7471923828125,1.6253662109375,193.32830160729372,233.22158037038065,5.52704,IBE2601 ,False,False,False,417.0,6697.9800000000005,7048.500000000001,1656288149.96,1656288149.97
1656288160,34718e,40.73674606064618,1.606937755237926,194.46051248029084,233.28167813682427,5.8521600000000005,IBE2601 ,False,False,False,417.0,6751.320000000001,7117.080000000001,1656288159.944,1656288159.944
1656288170,34718e,40.72641146385063,1.588835282759233,195.9005183719079,233.2203792429671,6.502400000000001,IBE2601 ,False,False,False,417.0,6812.280000000001,7178.040000000001,1656288169.751,1656288169.869
1656288180,34718e,40.71575100139036,1.5700461647727273,196.62060448055655,233.1900665180431,7.152640000000001,IBE2601 ,False,False,False,417.0,6880.860000000001,7246.620000000001,1656288179.864,1656288179.911
1656288190,34718e,40.70526123046875,1.5516357421875,196.62060448055655,233.1900665180431,7.477760000000001,IBE2601 ,False,False,False,417.0,6949.4400000000005,7322.820000000001,1656288189.689,1656288189.832
1656288200,34718e,40.69441223144531,1.53265380859375,197.340745221896,233.15997502064263,6.502400000000001,IBE2601 ,False,False,False,417.0,7025.64,7399.02,1656288199.938,1656288199.974
1656288210,34718e,40.68406677246094,1.51446533203125,198.06094,233.130102354156,6.1772800000000005,IBE2601 ,False,False,False,417.0,7086.6,7459.98,1656288209.722,1656288209.987
1656288220,34718e,40.6732177734375,1.49554443359375,199.09049265522128,232.98205157381165,5.8521600000000005,IBE2601 ,False,False,False,417.0,7139.9400000000005,7520.94,1656288219.833,1656288219.976
1656288230,34718e,40.66263489804025,1.4770993319424717,199.81100325292505,232.9530819714384,5.8521600000000005,IBE2601 ,False,False,False,417.0,7200.900000000001,7589.52,1656288229.509,1656288229.972
1656288240,34718e,40.65184020996094,1.45819091796875,200.94224785905624,233.01275325144684,5.52704,IBE2601 ,False,False,False,417.0,7254.240000000001,7642.860000000001,1656288239.556,1656288239.882
1656288250,34718e,40.640625,1.4385986328125,201.66270417750388,232.9839399683765,5.52704,IBE2601 ,False,False,False,417.0,7315.200000000001,7703.820000000001,1656288249.835,1656288249.954
1656288260,34718e,40.62967591366525,1.4195459539240056,202.38321113232945,232.95533183515985,5.52704,IBE2601 ,False,False,False,417.0,7368.54,7757.16,1656288259.886,1656288259.946
1656288270,34718e,40.61906200344279,1.400944102894176,203.20538,233.130102354156,6.1772800000000005,IBE2601 ,False,False,False,417.0,7421.88,7818.12,1656288269.584,1656288269.649
1656288280,34718e,40.60762023925781,1.38104248046875,203.5144625322338,233.01423642612752,6.1772800000000005,IBE2601 ,False,False,False,417.0,7490.46,7886.7,1656288279.905,1656288279.979
1656288290,34718e,40.5965772725768,1.3618053089488635,203.82437480311788,232.8987223721313,6.502400000000001,IBE2601 ,False,False,False,417.0,7551.42,7947.66,1656288289.946,1656288289.991
1656288300,34718e,40.585968017578125,1.3433837890625,204.23491591333,232.9857807966333,6.502400000000001,IBE2601 ,False,False,False,417.0,7612.38,8016.24,1656288299.527,1656288299.978
1656288310,34718e,40.57493591308594,1.32415771484375,204.23491591333,232.9857807966333,6.502400000000001,IBE2601 ,False,False,False,417.0,7680.96,8084.82,1656288309.572,1656288309.696
1656288320,34718e,40.56376647949219,1.30474853515625,204.23491591333,232.9857807966333,6.502400000000001,IBE2601 ,False,False,False,417.0,7741.92,8145.78,1656288319.723,1656288319.811
1656288330,34718e,40.55267851231461,1.285587657581676,204.23491591333,232.9857807966333,6.1772800000000005,IBE2601 ,False,False,False,417.0,7802.88,8214.36,1656288329.671,1656288329.987
1656288340,34718e,40.541273214049255,1.2657373601740056,204.5450304639081,232.8707167944,5.52704,IBE2601 ,False,False,False,417.0,7863.84,8275.32,1656288339.953,1656288339.962
1656288350,34718e,40.53062438964844,1.247314453125,204.9554193159636,232.95752522691717,5.52704,IBE2601 ,False,False,False,417.0,7924.8,8336.28,1656288349.589,1656288349.961
1656288360,34718e,40.5194091796875,1.22784423828125,205.2657346504693,232.8429078696488,5.52704,IBE2601 ,False,False,False,417.0,7978.14,8397.24,1656288359.646,1656288359.978
1656288370,34718e,40.50803491624735,1.2081215598366477,205.2657346504693,232.8429078696488,4.8768,IBE2601 ,False,False,False,417.0,8031.48,8450.58,1656288369.764,1656288369.945
1656288380,34718e,40.49704858812235,1.189207597212358,205.98648685345648,232.8152935467669,4.55168,IBE2601 ,False,False,False,417.0,8077.200000000001,8496.300000000001,1656288379.691,1656288379.891
1656288390,34718e,40.48573639433263,1.1696069890802556,206.70728657059496,232.78787180288825,4.55168,IBE2601 ,False,False,False,417.0,8122.92,8542.02,1656288389.777,1656288389.853
1656288400,34718e,40.47456385725636,1.1503809148615056,207.42813330655864,232.76064064291043,4.55168,IBE2601 ,False,False,False,417.0,8168.64,8595.36,1656288399.656,1656288399.718
1656288410,34718e,40.46305847167969,1.13043212890625,207.8379227368719,232.84646219839817,4.55168,IBE2601 ,False,False,False,417.0,8206.74,8633.46,1656288409.856,1656288409.943
1656288420,34718e,40.45211791992188,1.1114501953125,208.5586685060541,232.81917616379104,4.55168,IBE2601 ,False,False,False,417.0,8252.460000000001,8679.18,1656288419.525,1656288419.893
1656288430,34718e,40.44039916992188,1.09124755859375,209.27946124972445,232.7920780782184,4.55168,IBE2601 ,False,False,False,417.0,8298.18,8724.9,1656288429.857,1656288429.921
1656288440,34718e,40.42913818359375,1.07183837890625,209.68941903988423,232.8770804387834,4.55168,IBE2601 ,False,False,False,417.0,8343.9,8778.24,1656288439.786,1656288439.857
1656288450,34718e,40.41737365722656,1.051513671875,210.4101116035438,232.849929626348,4.55168,IBE2601 ,False,False,False,417.0,8389.62,8823.960000000001,1656288449.98,1656288449.98
1656288460,34718e,40.406271724377646,1.0324027321555398,210.4101116035438,232.849929626348,4.55168,IBE2601 ,False,False,False,417.0,8435.34,8869.68,1656288459.764,1656288459.929
1656288470,34718e,40.39495953058792,1.0128021240234375,211.13085109302216,232.82296417788956,4.55168,IBE2601 ,False,False,False,417.0,8481.060000000001,8915.400000000001,1656288469.62,1656288469.758
1656288480,34718e,40.38332147113347,0.9928269819779828,211.4421165235169,232.71189241265887,4.55168,IBE2601 ,False,False,False,417.0,8526.78,8961.12,1656288479.743,1656288479.818
1656288490,34718e,40.37159729003906,0.97265625,211.85163702938087,232.79618221341525,4.55168,IBE2601 ,False,False,False,417.0,8572.5,9006.84,1656288489.921,1656288489.957
1656288500,34718e,40.36006164550781,0.95281982421875,212.1630923934873,232.6855271483816,4.55168,IBE2601 ,False,False,False,417.0,8618.220000000001,9060.18,1656288499.979,1656288499.979
1656288510,34718e,40.34850039724576,0.9329015558416192,212.57246894014705,232.7695818781093,4.55168,IBE2601 ,False,False,False,417.0,8663.94,9105.9,1656288509.961,1656288509.961
1656288520,34718e,40.33735656738281,0.913818359375,212.57246894014705,232.7695818781093,4.22656,IBE2601 ,False,False,False,417.0,8709.66,9151.62,1656288519.546,1656288519.608
1656288530,34718e,40.32545471191406,0.893310546875,213.2933463592044,232.74316134191557,4.22656,IBE2601 ,False,False,False,417.0,8747.76,9189.72,1656288529.818,1656288529.937
1656288540,34718e,40.31437760692532,0.8743494207208806,213.6051775439045,232.63333058723128,3.90144,IBE2601 ,False,False,False,417.0,8785.86,9227.82,1656288539.355,1656288539.981
1656288550,34718e,40.30213436837924,0.8533755215731534,214.01426882668792,232.7169187991284,3.90144,IBE2601 ,False,False,False,417.0,8831.58,9273.54,1656288549.858,1656288549.858
1656288560,34718e,40.29049630892479,0.8334003795276989,214.32628592670457,232.60749571909665,3.90144,IBE2601 ,False,False,False,417.0,8869.68,9319.26,1656288559.886,1656288559.938
1656288570,34718e,40.27899169921875,0.813720703125,214.73523588887943,232.69085246799156,3.90144,IBE2601 ,False,False,False,417.0,8907.78,9357.36,1656288569.694,1656288569.947
1656288580,34718e,40.26703398106461,0.7932628284801136,215.45624709810596,232.66496059030487,3.90144,IBE2601 ,False,False,False,417.0,8945.880000000001,9395.46,1656288579.863,1656288579.971
1656288590,34718e,40.255395921610166,0.7732876864346591,215.45624709810596,232.66496059030487,3.90144,IBE2601 ,False,False,False,417.0,8983.98,9433.56,1656288589.719,1656288589.993
